Series Name,"Series Code","Country Name","Country Code","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]"
Agricultural land (% of land area),"AG.LND.AGRI.ZS","Netherlands","NLD","58.9751184834123","58.8270142180095","58.8862559241706","58.382701421801","58.175355450237","58.6789099526066","58.2345971563981","58.4419431279621","58.2642180094787","57.9383886255924","57.1978672985782","57.7310426540284","56.9609004739336","57.7428909952607","57.396327014218","56.8601895734597","56.7061611374408","57.1475118483412","56.8455380966499","55.5084494515268","55.1126927639383","54.6174377224199","54.8737748737749","",""
Agricultural land (% of land area),"AG.LND.AGRI.ZS","Russian Federation","RUS","","13.5223719413421","13.3524103848487","13.2901907232197","13.2125399459531","13.1952331059546","13.3093386817595","13.2643318906314","13.2281702241387","13.2566688683588","13.2390216624218","13.2257977869402","13.2029341345878","13.1846021330511","13.1661598924145","13.1573709193088","13.1558444571717","13.1584362579663","13.1557495418844","13.0642790716419","13.1069001585773","13.0885816398372","13.2406253453804","",""
Agricultural land (% of land area),"AG.LND.AGRI.ZS","Saudi Arabia","SAU","57.5301555107946","57.5645790788439","80.8418888304825","80.8418888304825","80.8418888304825","80.7093115751573","80.8418888304825","80.8418888304825","80.8418888304825","80.8418888304825","80.8446799305946","80.8456102972987","80.8479362140588","80.8065348957292","80.8102563625453","80.7902534784085","80.7907186617605","80.7428047765027","80.6790746572762","80.6655843400676","80.6572110397313","80.6372081555945","80.6139489879936","",""
Agricultural land (% of land area),"AG.LND.AGRI.ZS","Spain","ESP","60.8101073201986","60.6259010091302","60.1333493512734","60.4336857280154","59.5046452026269","60.3455870575044","60.1854076565754","59.9831811629025","59.6227775108121","59.6513026052104","59.2152772205729","58.9511862776531","58.3982692654394","58.2375095156056","58.4343505179427","57.3429796785442","56.1078720121817","56.4194065757819","56.0903220631292","55.0888982220356","54.0409698327599","53.8613782211471","53.8613782211471","",""
Agricultural land (% of land area),"AG.LND.AGRI.ZS","Switzerland","CHE","40.4993802018771","40.3804801538111","40.2615801057451","40.1426800576792","40.0237800096132","39.9413074276462","39.8638905052243","39.7788797247381","39.6989247311828","39.6214958000202","39.5364724337727","39.4590354739133","39.3765339945852","39.3016194331984","39.2226327243282","39.1426474681783","39.0601275432736","38.9867395485373","38.9082903127847","38.8349023180484","38.7589837028039","38.6855957080676","38.6096770928232","",""
Agricultural land (% of land area),"AG.LND.AGRI.ZS","Turkey","TUR","52.0600808180554","51.8482907371074","51.8599846679573","52.1666255213544","51.3142678949625","51.1466548861141","50.9881371568156","51.8677806218573","52.3654223458025","52.5954029858503","53.2307732286943","53.5270194768915","52.8097917180983","53.5452100359913","53.5621012694412","52.6135935449502","51.3298598027624","50.8322180788171","50.5580603666697","50.6892922573184","49.6953081350779","49.9032002390759","49.9239894494757","",""
Agricultural land (% of land area),"AG.LND.AGRI.ZS","United Kingdom","GBR","74.9927665027074","74.6910263299301","72.4755094448807","71.9588310668375","71.8348282561071","72.3101723639069","72.6863142231224","72.4093746124912","71.1734799322118","70.1194560410036","70.0739883437358","70.1690571652957","70.0863886248088","70.4790641921217","70.0863886248088","73.7320712602819","72.9425866986318","73.0955234985326","71.6116231967925","71.1941470673335","70.9461414458728","71.020543132311","71.3024428553714","",""
Agricultural land (% of land area),"AG.LND.AGRI.ZS","United States","USA","46.615336239049","46.4494877147624","46.1786054311843","45.9810939233275","45.8719112213614","45.4534139247251","45.2982653052312","45.2658380427472","45.1893009686689","45.2305848555761","45.2900702036254","45.0848730397122","45.1788489748874","44.9164585589047","44.945164332367","44.6647427613426","45.0623450106528","45.1835162264332","44.8170850359992","44.6493328173408","44.2386268477888","44.6799753373082","44.322552151317","",""
Agricultural land (% of land area),"AG.LND.AGRI.ZS","Afghanistan","AFG","58.2513862083755","58.2513862083755","58.1043409000398","57.9190025426585","57.8270992249487","57.8255675029869","57.8837729375364","58.0017155285973","57.8270992249487","57.8270992249487","57.8270992249487","57.8270992249487","58.0675795729559","58.0691112949177","58.0675795729559","58.0675795729559","58.0675795729559","58.0675795729559","58.0675795729559","58.0675795729559","58.0675795729559","58.0675795729559","58.0675795729559","",""
Agricultural land (% of land area),"AG.LND.AGRI.ZS","Albania","ALB","41.1313868613139","41.1313868613139","41.0948905109489","41.0948905109489","41.1313868613139","41.2773722627737","41.4233576642336","41.5693430656934","41.7883211678832","41.7518248175182","41.5693430656934","41.6058394160584","40.9124087591241","40.9489051094891","39.3065693430657","40.8759124087591","40.8394160583942","43.1021897810219","43.8430656934307","43.8430656934307","43.8321167883212","43.8430656934307","43.3321167883212","",""
